continent,country,nuts_1,nuts_2,Pop Total,cases/100k pop.,cases,deaths,datetime,sum_cases
Europe,DE,Baden-Württemberg,,,0.0,14.0,0.0,2020-02-29,
Europe,DE,Baden-Württemberg,,,0.0,15.0,0.0,2020-03-01,
Europe,DE,Baden-Württemberg,,,0.0,15.0,0.0,2020-03-01,
Europe,DE,Baden-Württemberg,,,0.0,19.0,0.0,2020-03-02,
Europe,DE,Baden-Württemberg,,,0.0,20.0,0.0,2020-03-02,
Europe,DE,Baden-Württemberg,,,0.0,26.0,0.0,2020-03-03,
Europe,DE,Baden-Württemberg,,,0.0,28.0,0.0,2020-03-03,
Europe,DE,Baden-Württemberg,,,0.0,44.0,0.0,2020-03-04,
Europe,DE,Baden-Württemberg,,,0.0,50.0,0.0,2020-03-04,
Europe,DE,Baden-Württemberg,,,0.0,65.0,0.0,2020-03-05,
Europe,DE,Baden-Württemberg,,,0.0,73.0,0.0,2020-03-05,
Europe,DE,Baden-Württemberg,,,0.0,91.0,0.0,2020-03-06,
Europe,DE,Baden-Württemberg,,,0.0,96.0,0.0,2020-03-06,
Europe,DE,Baden-Württemberg,,,0.0,116.0,0.0,2020-03-07,
Europe,DE,Baden-Württemberg,,,0.0,170.0,0.0,2020-03-07,
Europe,DE,Baden-Württemberg,,,0.0,182.0,0.0,2020-03-08,
Europe,DE,Baden-Württemberg,,,0.0,182.0,0.0,2020-03-08,
Europe,DE,Baden-Württemberg,,,0.0,199.0,0.0,2020-03-09,
Europe,DE,Baden-Württemberg,,,0.0,204.0,0.0,2020-03-09,
Europe,DE,Baden-Württemberg,,,0.0,237.0,0.0,2020-03-10,
Europe,DE,Baden-Württemberg,,,0.0,277.0,0.0,2020-03-11,
Europe,DE,Baden-Württemberg,,,0.0,454.0,1.0,2020-03-12,
Europe,DE,Baden-Württemberg,,,0.0,454.0,1.0,2020-03-13,
Europe,DE,Baden-Württemberg,,,0.0,569.0,2.0,2020-03-14,
Europe,DE,Baden-Württemberg,,,0.0,827.0,3.0,2020-03-15,
Europe,DE,Baden-Württemberg,,,0.0,1105.0,3.0,2020-03-16,
Europe,DE,Baden-Württemberg,,,13.4,1479.0,2.0,2020-03-17,
Europe,DE,Baden-Württemberg,,,14.5,1609.0,2.0,2020-03-18,
Europe,DE,Baden-Württemberg,,,19.47,2155.0,6.0,2020-03-19,
Europe,DE,Baden-Württemberg,,,25.0,2746.0,10.0,2020-03-20,
Europe,DE,Baden-Württemberg,,,265.9823137977,29443.0,1113.0,2020-04-22,
Europe,DE,Baden-Württemberg,,,269.13511166189204,29792.0,1153.0,2020-04-23,
Europe,DE,Baden-Württemberg,,,272.54085605960097,30169.0,1189.0,2020-04-24,
Europe,DE,Baden-Württemberg,,,277.888868482528,30761.0,1237.0,2020-04-25,
Europe,DE,Baden-Württemberg,,,280.436401427233,31043.0,1249.0,2020-04-26,
Europe,DE,Baden-Württemberg,,,281.818573556807,31196.0,1269.0,2020-04-27,
Europe,DE,Baden-Württemberg,,,283.083306224391,31336.0,1299.0,2020-04-28,
Europe,DE,Baden-Württemberg,,,285.54953492617994,31609.0,1353.0,2020-04-29,
Europe,DE,Baden-Württemberg,,,288.35001440440203,31919.0,1385.0,2020-04-30,
Europe,DE,Baden-Württemberg,,,290.400688086842,32146.0,1402.0,2020-05-01,
Europe,DE,Baden-Württemberg,,,291.710589778268,32291.0,1412.0,2020-05-02,
Europe,DE,Baden-Württemberg,,,292.794646350483,32411.0,1421.0,2020-05-03,
Europe,DE,Baden-Württemberg,,,293.436046489043,32482.0,1452.0,2020-05-04,
Europe,DE,Baden-Württemberg,,,294.28522413727796,32576.0,1481.0,2020-05-05,
Europe,DE,Baden-Württemberg,,,295.965511824212,32762.0,1497.0,2020-05-06,
Europe,DE,Baden-Württemberg,,,297.194109272722,32898.0,1515.0,2020-05-07,
Europe,DE,Baden-Württemberg,,,299.064106859793,33105.0,1534.0,2020-05-08,
Europe,DE,Baden-Württemberg,,,300.708259327652,33287.0,1542.0,2020-05-09,
Europe,DE,Baden-Württemberg,,,299.831980265111,33190.0,1545.0,2020-05-10,
Europe,DE,Baden-Württemberg,,,301.358693270981,33359.0,1568.0,2020-05-11,
Europe,DE,Baden-Württemberg,,,302.795068229166,33518.0,1594.0,2020-05-12,
Europe,DE,Baden-Württemberg,,,304.168206553971,33670.0,1608.0,2020-05-13,
Europe,DE,Baden-Württemberg,,,305.803325217062,33851.0,1628.0,2020-05-14,
Europe,DE,Baden-Württemberg,,,306.1827450173369,33893.0,1644.0,2020-05-15,
Europe,DE,Baden-Württemberg,,,306.697671889139,33950.0,1648.0,2020-05-16,
Europe,DE,Baden-Württemberg,,,307.149362127562,34000.0,1652.0,2020-05-17,
Europe,DE,Baden-Württemberg,,,307.45651148969,34034.0,1653.0,2020-05-18,
Europe,DE,Baden-Württemberg,,,308.18824967593497,34115.0,1672.0,2020-05-19,
Europe,DE,Baden-Württemberg,,,308.730277962042,34175.0,1680.0,2020-05-20,
Europe,DE,Baden-Württemberg,,,308.72124415727404,34174.0,1680.0,2020-05-21,
Europe,DE,Baden-Württemberg,,,308.72124415727404,34174.0,1680.0,2020-05-22,
Europe,DE,Baden-Württemberg,,,310.26602477268,34345.0,1692.0,2020-05-22,
Europe,DE,Baden-Württemberg,,,310.753850230177,34399.0,1697.0,2020-05-23,
Europe,DE,Baden-Württemberg,,,311.042931982767,34431.0,1698.0,2020-05-24,
Europe,DE,Baden-Württemberg,,,311.359115149664,34466.0,1707.0,2020-05-25,
Europe,DE,Baden-Württemberg,,,311.666264511791,34500.0,1724.0,2020-05-26,
Europe,DE,Baden-Württemberg,,,308.314722942693,34129.0,1724.0,2020-05-27,
Europe,DE,Baden-Württemberg,,,311.476554611653,34479.0,1743.0,2020-05-28,
Europe,DE,Baden-Württemberg,,,313.635633951315,34718.0,1748.0,2020-05-29,
Europe,DE,Baden-Württemberg,,,313.635633951315,34718.0,1748.0,2020-05-30,
Europe,DE,Baden-Württemberg,,,314.231865066033,34784.0,1752.0,2020-05-31,
Europe,DE,Baden-Württemberg,,,314.340270723255,34796.0,1758.0,2020-06-01,
Europe,DE,Baden-Württemberg,,,314.493845404318,34813.0,1760.0,2020-06-02,
Europe,DE,Baden-Württemberg,,,314.647420085382,34830.0,1761.0,2020-06-03,
Europe,DE,Baden-Württemberg,,,315.00877227612006,34870.0,1778.0,2020-06-04,
Europe,DE,Baden-Württemberg,,,315.261718809637,34898.0,1790.0,2020-06-05,
Europe,DE,Baden-Württemberg,,,315.38819207639597,34912.0,1791.0,2020-06-06,
Europe,DE,Baden-Württemberg,,,315.614037195607,34937.0,1791.0,2020-06-07,
Europe,DE,Baden-Württemberg,,,315.803747095745,34958.0,1795.0,2020-06-08,
Europe,DE,Baden-Württemberg,,,315.866983729124,34965.0,1798.0,2020-06-09,
Europe,DE,Baden-Württemberg,,,316.201234505557,35002.0,1801.0,2020-06-10,
Europe,DE,Baden-Württemberg,,,316.698093767822,35057.0,1802.0,2020-06-11,
Europe,DE,Baden-Württemberg,,,316.996209325181,35090.0,1805.0,2020-06-12,
Europe,DE,Baden-Württemberg,,,316.996209325181,35090.0,1805.0,2020-06-13,
Europe,DE,Baden-Württemberg,,,316.996209325181,35090.0,1805.0,2020-06-14,
Europe,DE,Baden-Württemberg,,,317.538237611289,35150.0,1808.0,2020-06-15,
Europe,DE,Baden-Württemberg,,,317.782150340037,35177.0,1811.0,2020-06-16,
Europe,DE,Baden-Württemberg,,,318.152536335544,35218.0,1816.0,2020-06-17,
Europe,DE,Baden-Württemberg,,,318.315144821376,35236.0,1821.0,2020-06-18,
Europe,DE,Baden-Württemberg,,,318.64036179304003,35272.0,1824.0,2020-06-19,
Europe,DE,Baden-Württemberg,,,318.64036179304003,35272.0,1824.0,2020-06-20,
Europe,DE,Baden-Württemberg,,,318.64036179304003,35272.0,1824.0,2020-06-21,
Europe,DE,Baden-Württemberg,,,319.480505636507,35365.0,1826.0,2020-06-22,
Europe,DE,Baden-Württemberg,,,319.87799304631903,35409.0,1826.0,2020-06-23,
Europe,DE,Baden-Württemberg,,,320.212243822752,35446.0,1827.0,2020-06-24,
Europe,DE,Baden-Württemberg,,,320.483257965806,35476.0,1830.0,2020-06-25,
Europe,DE,Baden-Württemberg,,,320.971083423303,35530.0,1829.0,2020-06-26,
Europe,DE,Baden-Württemberg,,,320.971083423303,35530.0,1829.0,2020-06-27,
Europe,DE,Baden-Württemberg,,,320.971083423303,35530.0,1829.0,2020-06-28,
Europe,DE,Baden-Württemberg,,,321.784125852464,35620.0,1830.0,2020-06-29,
Europe,DE,Baden-Württemberg,,,322.45262740533,35694.0,1838.0,2020-06-30,
Europe,DE,Baden-Württemberg,,,322.904317643752,35744.0,1838.0,2020-07-01,
Europe,DE,Baden-Württemberg,,,323.148230372501,35771.0,1839.0,2020-07-02,
Europe,DE,Baden-Württemberg,,,323.473447344165,35807.0,1837.0,2020-07-03,
Europe,DE,Baden-Württemberg,,,323.473447344165,35807.0,1837.0,2020-07-04,
Europe,DE,Baden-Württemberg,,,323.473447344165,35807.0,1837.0,2020-07-05,
Europe,DE,Baden-Württemberg,,,323.97030660643,35862.0,1837.0,2020-07-06,
Europe,DE,Baden-Württemberg,,,324.223253139947,35890.0,1837.0,2020-07-07,
Europe,DE,Baden-Württemberg,,,324.693010987907,35942.0,1838.0,2020-07-08,
Europe,DE,Baden-Württemberg,,,325.12663361679296,35990.0,1837.0,2020-07-09,
Europe,DE,Baden-Württemberg,,,325.58735765998404,36041.0,1837.0,2020-07-10,
Europe,DE,Baden-Württemberg,,,325.58735765998404,36041.0,1837.0,2020-07-11,
Europe,DE,Baden-Württemberg,,,325.58735765998404,36041.0,1837.0,2020-07-12,
Europe,DE,Baden-Württemberg,,,326.21972399377603,36111.0,1837.0,2020-07-13,
Europe,DE,Baden-Württemberg,,,326.680448036968,36162.0,1838.0,2020-07-14,
Europe,DE,Baden-Württemberg,,,327.267645346918,36227.0,1838.0,2020-07-15,
Europe,DE,Baden-Württemberg,,,327.60189612335,36264.0,1839.0,2020-07-16,
Europe,DE,Baden-Württemberg,,,328.30653289529,36342.0,1838.0,2020-07-17,
Europe,DE,Baden-Württemberg,,,328.30653289529,36342.0,1838.0,2020-07-18,
Europe,DE,Baden-Württemberg,,,328.30653289529,36342.0,1838.0,2020-07-19,
Europe,DE,Baden-Württemberg,,,329.661603610559,36492.0,1838.0,2020-07-20,
Europe,DE,Baden-Württemberg,,,330.23976711574,36556.0,1838.0,2020-07-21,
Europe,DE,Baden-Württemberg,,,330.321071358656,36565.0,1838.0,2020-07-22,
Europe,DE,Baden-Württemberg,,,331.8206829502201,36731.0,1839.0,2020-07-23,
Europe,DE,Baden-Württemberg,,,332.61565776984503,36819.0,1841.0,2020-07-24,
Europe,DE,Baden-Württemberg,,,332.61565776984503,36819.0,1841.0,2020-07-25,
Europe,DE,Baden-Württemberg,,,332.61565776984503,36819.0,1841.0,2020-07-26,
Europe,DE,Baden-Württemberg,,,333.500970637153,36917.0,1841.0,2020-07-27,
Europe,DE,Baden-Württemberg,,,334.594061014137,37038.0,1843.0,2020-07-28,
Europe,DE,Baden-Württemberg,,,335.28966398130797,37115.0,1845.0,2020-07-29,
Europe,DE,Baden-Württemberg,,,336.27434870107004,37224.0,1847.0,2020-07-30,
Europe,DE,Baden-Württemberg,,,336.707971329956,37272.0,1847.0,2020-07-31,
Europe,DE,Baden-Württemberg,,,336.707971329956,37272.0,1847.0,2020-08-01,
Europe,DE,Baden-Württemberg,,,336.707971329956,37272.0,1847.0,2020-08-02,
Europe,DE,Baden-Württemberg,,,338.361157602584,37455.0,1847.0,2020-08-03,
Europe,DE,Baden-Württemberg,,,338.894152083923,37514.0,1847.0,2020-08-04,
Europe,DE,Baden-Württemberg,,,339.43618037003,37574.0,1851.0,2020-08-05,
Europe,DE,Baden-Württemberg,,,340.05047909428504,37642.0,1852.0,2020-08-06,
Europe,DE,Baden-Württemberg,,,341.01709620451,37749.0,1858.0,2020-08-07,
Europe,DE,Baden-Württemberg,,,341.17970469034196,37767.0,1858.0,2020-08-08,
Europe,DE,Baden-Württemberg,,,341.396516004785,37791.0,1858.0,2020-08-09,
Europe,DE,Baden-Württemberg,,,342.345065505473,37896.0,1858.0,2020-08-10,
Europe,DE,Baden-Württemberg,,,343.058736082182,37975.0,1859.0,2020-08-11,
Europe,DE,Baden-Württemberg,,,344.748057573883,38162.0,1859.0,2020-08-12,
Europe,DE,Baden-Württemberg,,,345.72370848887704,38270.0,1859.0,2020-08-13,
Europe,DE,Baden-Württemberg,,,347.096846813682,38422.0,1859.0,2020-08-14,
Europe,DE,Baden-Württemberg,,,347.620807490253,38480.0,1859.0,2020-08-15,
Europe,DE,Baden-Württemberg,,,347.909889242843,38512.0,1859.0,2020-08-16,
Europe,DE,Baden-Württemberg,,,349.96959673005205,38740.0,1859.0,2020-08-17,
Europe,DE,Baden-Württemberg,,,352.02930421726,38968.0,1860.0,2020-08-18,
Europe,DE,Baden-Württemberg,,,354.369059652291,39227.0,1860.0,2020-08-19,
Europe,DE,Baden-Württemberg,,,356.7720517207,39493.0,1863.0,2020-08-20,
Europe,DE,Baden-Württemberg,,,359.807410122902,39829.0,1862.0,2020-08-21,
Europe,DE,Baden-Württemberg,,,361.6322386861309,40031.0,1863.0,2020-08-22,
Europe,DE,Baden-Württemberg,,,362.915038963252,40173.0,1863.0,2020-08-23,
Europe,DE,Baden-Württemberg,,,364.58629284541604,40358.0,1863.0,2020-08-24,
Europe,DE,Baden-Württemberg,,,367.54034700470197,40685.0,1862.0,2020-08-25,
Europe,DE,Baden-Württemberg,,,370.06077853510203,40964.0,1863.0,2020-08-26,
Europe,DE,Baden-Württemberg,,,372.626379089344,41248.0,1864.0,2020-08-27,
Europe,DE,Baden-Württemberg,,,375.571399443861,41574.0,1862.0,2020-08-28,
Europe,DE,Baden-Württemberg,,,377.36912659278397,41773.0,1866.0,2020-08-29,
Europe,DE,Baden-Württemberg,,,378.895839598653,41942.0,1866.0,2020-08-30,
Europe,DE,Baden-Württemberg,,,380.49482304266996,42119.0,1866.0,2020-08-31,
Europe,DE,Baden-Württemberg,,,382.73520662524805,42367.0,1867.0,2020-09-01,
Europe,DE,Baden-Württemberg,,,384.9665564030569,42614.0,1868.0,2020-09-02,
Europe,DE,Baden-Württemberg,,,387.776069686047,42925.0,1865.0,2020-09-03,
Europe,DE,Baden-Württemberg,,,386.285491899252,0.0,0.0,2020-09-04,
Europe,DE,Baden-Württemberg,,,390.79336047871203,43259.0,1865.0,2020-09-04,
Europe,DE,Baden-Württemberg,,,392.274904460739,43423.0,1865.0,2020-09-05,
Europe,DE,Baden-Württemberg,,,393.80161746660895,43592.0,1865.0,2020-09-06,
Europe,DE,Baden-Württemberg,,,396.23171094932405,43861.0,1867.0,2020-09-07,
Europe,DE,Baden-Württemberg,,,398.55339877481697,44118.0,1867.0,2020-09-08,
Europe,DE,Baden-Württemberg,,,401.064796500449,44396.0,1868.0,2020-09-09,
Europe,DE,Baden-Württemberg,,,403.0703011590461,44618.0,1868.0,2020-09-10,
Europe,DE,Baden-Württemberg,,,405.644935518057,44903.0,1867.0,2020-09-11,
Europe,DE,Baden-Württemberg,,,407.153580914389,45070.0,1867.0,2020-09-12,
Europe,DE,Baden-Württemberg,,,408.81580099178495,45254.0,1867.0,2020-09-13,
Europe,DE,Baden-Württemberg,,,409.4391335208089,45323.0,1868.0,2020-09-14,
Europe,DE,Baden-Württemberg,,,413.341737180783,45755.0,1868.0,2020-09-15,
Europe,DE,Baden-Württemberg,,,415.925405344562,46041.0,1868.0,2020-09-16,
Europe,DE,Baden-Württemberg,,,419.421487789955,46428.0,1869.0,2020-09-17,
Europe,DE,Baden-Württemberg,,,422.5923532636831,46779.0,1871.0,2020-09-18,
Europe,DE,Baden-Württemberg,,,424.001626807563,46935.0,1871.0,2020-09-19,
Europe,DE,Baden-Württemberg,,,425.555441227737,47107.0,1871.0,2020-09-20,
Europe,DE,Baden-Württemberg,,,427.77775720077796,47353.0,1871.0,2020-09-21,
Europe,DE,Baden-Württemberg,,,429.918768930903,47590.0,1874.0,2020-09-22,
Europe,DE,Baden-Württemberg,,,432.565673728061,47883.0,1875.0,2020-09-23,
Europe,DE,Baden-Württemberg,,,434.842192529712,48135.0,1876.0,2020-09-24,
Europe,DE,Baden-Württemberg,,,437.84141571284,48467.0,1877.0,2020-09-25,
Europe,DE,Baden-Württemberg,,,437.84141571284,48467.0,1877.0,2020-09-26,
Europe,DE,Baden-Württemberg,,,441.753053177582,48900.0,1880.0,2020-09-27,
Europe,DE,Baden-Württemberg,,,444.535465046267,49208.0,1880.0,2020-09-28,
Europe,DE,Baden-Württemberg,,,446.459665461949,49421.0,1885.0,2020-09-29,
Europe,DE,Baden-Württemberg,,,449.0433336257271,49707.0,1886.0,2020-09-30,
Europe,DE,Baden-Württemberg,,,452.638787923574,50105.0,1887.0,2020-10-01,
Europe,DE,Baden-Württemberg,,,453.8583515673149,50240.0,1888.0,2020-10-02,
Europe,DE,Baden-Württemberg,,,458.58303146121904,50763.0,1888.0,2020-10-03,
Europe,DE,Baden-Württemberg,,,460.127812076625,50934.0,1890.0,2020-10-04,
Europe,DE,Baden-Württemberg,,,462.449499902119,51191.0,1894.0,2020-10-05,
Europe,DE,Baden-Württemberg,,,465.95461615228,51579.0,1894.0,2020-10-06,
Europe,DE,Baden-Württemberg,,,470.53284775297203,52231.0,1898.0,2020-10-07,
